iter	RMSE
0	468.0596758
1	466.1177789
2	461.6413263
3	457.074428
4	451.5014863
5	447.4870274
6	443.8640762
7	440.0416733
8	438.1301736
9	434.5615909
10	430.511566
11	428.4180283
12	426.2823412
13	423.8451635
14	421.2881257
15	419.5192789
16	417.5078983
17	416.3001497
18	412.5609101
19	410.8572943
20	408.0771826
21	405.4613183
22	402.8645163
23	399.3019801
24	396.5007539
25	394.8611171
26	393.1432614
27	391.9314754
28	391.1308672
29	388.0836459
30	385.7128995
31	383.35852
32	380.5257325
33	378.465672
34	377.0508669
35	375.3765014
36	372.6463168
37	370.2443564
38	369.6331053
39	366.7679393
40	365.2463352
41	363.9105883
42	363.3775011
43	362.9442269
44	360.1718086
45	358.9822492
46	357.4978324
47	355.8590881
48	354.3250239
49	353.3708771
50	352.2339924
51	350.2934248
52	348.4253555
53	347.4083578
54	345.7414886
55	343.654905
56	341.8219251
57	341.2235233
58	340.699938
59	339.9694175
60	337.7669417
61	336.3511049
62	335.1115313
63	332.6323253
64	331.2919631
65	329.9020924
66	327.8467793
67	327.6037114
68	325.9551834
69	323.5600385
70	321.8528327
71	320.7909561
72	319.2475854
73	317.3887767
74	316.5698223
75	315.2579219
76	313.9150897
77	313.7759009
78	313.7598269
79	312.7692761
80	311.4304408
81	310.604041
82	307.8318
83	306.7099198
84	306.6513333
85	304.7044575
86	304.1919648
87	303.9605581
88	303.1156707
89	301.7836269
90	299.8659332
91	298.2532105
92	297.7047194
93	295.572533
94	294.7568707
95	293.6522985
96	292.8160218
97	292.2123647
98	290.8833738
99	288.2665779
100	287.4205076
101	285.3070301
102	282.9971111
103	280.9862857
104	280.2326162
105	278.7603227
106	277.5364473
107	277.2728941
108	276.0991175
109	274.5013848
110	272.9532203
111	272.0057284
112	270.9539976
113	270.1429138
114	269.0421182
115	268.1226327
116	266.7905415
117	265.0392897
118	263.5995054
119	262.2575835
120	260.4424782
121	259.4688439
122	258.118898
123	257.7894237
124	256.5908009
125	256.4522851
126	255.8630428
127	254.7344925
128	253.9789689
129	252.2001222
130	251.9166849
131	250.839473
132	249.6490638
133	248.9190932
134	247.514028
135	246.2458407
136	245.6656934
137	244.0956719
138	243.4024789
139	242.8690228
140	242.1783172
141	241.2571291
142	239.8095218
143	239.2139631
144	238.7923552
145	237.0604522
146	235.3269341
147	234.550272
148	233.6534175
149	233.4149242
150	233.3136217
151	232.6730618
152	232.204066
153	231.8479507
154	231.1307368
155	230.971184
156	230.0200463
157	229.7945407
158	228.8735163
159	228.5906877
160	228.1862643
161	226.6065686
162	225.8389121
163	225.7336579
164	223.8293952
165	223.63501
166	223.393091
167	222.4545768
168	221.3727618
169	221.1650177
170	220.1014902
171	218.686688
172	218.1127294
173	217.4080723
174	216.4438165
175	215.7920195
176	214.4089798
177	214.0747122
178	213.3515915
179	212.4295379
180	211.893365
181	211.3041783
182	210.2790737
183	210.1238399
184	209.5307924
185	208.8418485
186	207.6573083
187	206.9677342
188	206.6753618
189	205.8497103
190	205.1400346
191	204.8247386
192	204.5727066
193	203.6292623
194	202.6710209
195	201.994289
196	201.4210289
197	200.4428866
198	199.454987
199	199.0743441
200	198.6918245
201	198.0118864
202	197.8621849
203	197.1983962
204	196.8062753
205	196.4605247
206	195.7290006
207	194.9354787
208	194.5990264
209	193.6823148
210	192.963651
211	192.4898669
212	192.065493
213	191.4779199
214	190.8223556
215	189.9398315
216	188.7655685
217	188.1123899
218	187.6334601
219	186.7462007
220	186.6074345
221	186.3689386
222	185.9254057
223	185.6883208
224	185.3742436
225	184.9603763
226	184.8421759
227	184.2066139
228	184.0302779
229	183.3780921
230	183.182323
231	182.4833157
232	182.1362982
233	181.5954688
234	181.0865794
235	180.693916
236	180.0563324
237	179.790078
238	179.2670787
239	179.0029525
240	178.475448
241	178.361471
242	178.183316
243	177.1681257
244	176.5997538
245	176.3754167
246	176.0528795
247	175.4478763
248	175.1341736
249	174.2584386
250	173.6040114
251	173.4551608
252	173.1433482
253	172.929231
254	172.4229616
255	172.0959651
256	171.888699
257	171.3266245
258	170.8040207
259	170.5992531
260	169.923382
261	169.2688767
262	168.6919537
263	168.2826494
264	167.5488022
265	167.201457
266	166.8714138
267	166.048682
268	165.5558444
269	164.5983107
270	164.2578438
271	163.8018896
272	163.4780049
273	163.0721089
274	162.8686612
275	162.0893304
276	161.6922105
277	161.0055823
278	160.9033059
279	160.0626615
280	159.8673762
281	159.7002953
282	158.8879179
283	158.1996785
284	157.7187646
285	156.8026315
286	156.2936582
287	156.1055265
288	155.9806703
289	154.9864779
290	154.803078
291	154.6620846
292	154.001455
293	153.8215902
294	153.5061028
295	153.2131176
296	152.6416913
297	152.3602908
298	152.026499
299	151.2655532
300	151.1702366
301	150.8712768
302	150.3511922
303	149.9729114
304	149.7994965
305	149.4050804
306	148.8009701
307	148.2267214
308	147.9578458
309	147.5170767
310	147.3461868
311	147.058744
312	146.5660043
313	146.4000289
314	146.2110434
315	145.7797995
316	145.6660389
317	145.2463779
318	145.0866432
319	144.5175539
320	144.074577
321	143.5866612
322	143.1316727
323	142.9532205
324	142.5513842
325	142.1183746
326	141.6907816
327	141.2087334
328	140.5925809
329	140.4182092
330	140.1999369
331	139.8259108
332	139.4431045
333	139.2050731
334	138.8385633
335	138.5843667
336	138.2054617
337	138.0979357
338	137.9334271
339	137.5231314
340	136.9519228
341	136.785525
342	136.5816774
343	136.1918338
344	136.0457067
345	135.672871
346	135.2758011
347	134.9820958
348	134.802959
349	134.4459436
350	134.1473483
351	133.7800725
352	133.2853073
353	132.9354656
354	132.8103472
355	132.3766594
356	132.1860754
357	132.0757739
358	131.8979132
359	131.4630434
360	131.1807519
361	130.9516224
362	130.7596436
363	129.8026332
364	129.4985721
365	129.2967084
366	128.9844814
367	128.5941288
368	128.4274741
369	128.1687433
370	127.5295693
371	127.2645975
372	127.1016647
373	126.7953298
374	126.4927223
375	126.3596866
376	126.2049276
377	126.0546254
378	125.8888255
379	125.7426728
380	125.6007224
381	125.3530872
382	124.9916126
383	124.6797349
384	124.27333
385	123.8209917
386	123.7271482
387	123.3708425
388	123.2341991
389	122.9938991
390	122.7204613
391	122.2923371
392	122.2265634
393	121.9260436
394	121.5649059
395	121.5190647
396	121.1981645
397	120.837281
398	120.7209893
399	120.4654594
