iter	Passed	Remaining
0	1	690
1	1	386
2	2	304
3	2	259
4	3	241
5	3	228
6	3	215
7	4	207
8	5	222
9	5	215
10	5	208
11	6	201
12	6	198
13	6	192
14	7	188
15	7	186
16	8	196
17	8	187
18	9	183
19	9	181
20	9	179
21	10	186
22	11	184
23	11	182
24	11	179
25	12	175
26	12	173
27	12	171
28	13	167
29	13	166
30	13	163
31	14	161
32	14	159
33	14	158
34	15	157
35	15	154
36	15	152
37	15	151
38	15	148
39	16	147
40	16	146
41	16	144
42	17	142
43	17	139
44	17	138
45	17	138
46	18	137
47	18	136
48	18	135
49	19	135
50	19	133
51	19	132
52	20	131
53	20	130
54	20	130
55	21	129
56	21	129
57	21	128
58	22	128
59	22	127
60	23	130
61	23	130
62	24	133
63	25	132
64	25	132
65	26	131
66	26	131
67	26	129
68	26	128
69	27	128
70	28	129
71	28	129
72	28	128
73	28	127
74	29	127
75	29	125
76	29	124
77	29	123
78	30	122
79	30	121
80	30	120
81	31	120
82	31	119
83	31	118
84	31	117
85	32	117
86	32	116
87	32	116
88	33	115
89	33	115
90	33	114
91	34	114
92	34	113
93	35	115
94	35	115
95	36	114
96	36	114
97	36	113
98	37	113
99	37	113
100	38	112
101	38	112
102	38	111
103	38	110
104	39	110
105	39	110
106	40	110
107	40	110
108	41	109
109	41	108
110	41	108
111	42	108
112	42	107
113	42	107
114	42	106
115	43	105
116	43	105
117	43	105
118	45	108
119	46	108
120	47	108
121	47	108
122	47	107
123	48	107
124	48	106
125	48	106
126	49	105
127	49	104
128	49	104
129	50	104
130	50	103
131	50	103
132	51	102
133	51	102
134	51	102
135	52	101
136	52	101
137	52	100
138	53	99
139	53	99
140	53	98
141	54	98
142	54	97
143	54	97
144	55	97
145	55	96
146	56	96
147	56	96
148	56	95
149	57	95
150	57	95
151	57	94
152	58	94
153	58	93
154	58	93
155	59	92
156	59	92
157	60	91
158	60	91
159	60	90
160	60	90
161	61	90
162	62	90
163	62	90
164	64	91
165	64	91
166	65	90
167	65	90
168	65	89
169	66	89
170	66	88
171	66	88
172	67	88
173	67	87
174	67	86
175	67	86
176	68	85
177	68	85
178	68	84
179	68	84
180	69	83
181	69	83
182	70	83
183	70	82
184	70	82
185	71	81
186	72	82
187	72	81
188	73	81
189	73	81
190	73	80
191	73	80
192	74	79
193	74	79
194	74	78
195	75	78
196	75	77
197	75	77
198	76	77
199	77	77
200	77	76
201	77	76
202	77	75
203	78	75
204	78	74
205	78	74
206	79	73
207	80	74
208	81	74
209	81	74
210	82	73
211	82	73
212	82	72
213	83	72
214	83	71
215	83	71
216	84	71
217	84	70
218	84	70
219	85	69
220	85	69
221	85	68
222	85	68
223	86	67
224	86	67
225	86	66
226	87	66
227	87	66
228	88	65
229	88	65
230	88	64
231	89	64
232	89	64
233	90	64
234	90	63
235	91	63
236	91	62
237	91	62
238	91	61
239	92	61
240	92	60
241	92	60
242	92	60
243	93	59
244	93	59
245	93	58
246	94	58
247	94	57
248	94	57
249	95	57
250	95	56
251	95	56
252	96	55
253	96	55
254	96	54
255	96	54
256	97	54
257	97	53
258	97	53
259	98	52
260	98	52
261	98	52
262	99	51
263	99	51
264	99	50
265	100	50
266	100	50
267	100	49
268	101	49
269	102	49
270	102	48
271	102	48
272	102	47
273	103	47
274	103	46
275	103	46
276	103	46
277	104	45
278	104	45
279	105	45
280	105	44
281	105	44
282	106	44
283	107	43
284	107	43
285	107	43
286	108	42
287	108	42
288	109	41
289	109	41
290	109	41
291	109	40
292	110	40
293	110	39
294	110	39
295	111	39
296	111	38
297	112	38
298	112	38
299	112	37
300	113	37
301	113	36
302	113	36
303	114	36
304	114	35
305	114	35
306	115	34
307	115	34
308	115	34
309	115	33
310	116	33
311	116	32
312	116	32
313	117	32
314	117	31
315	117	31
316	118	31
317	118	30
318	119	30
319	119	29
320	119	29
321	120	29
322	120	28
323	120	28
324	121	27
325	121	27
326	121	27
327	122	26
328	122	26
329	122	26
330	123	25
331	123	25
332	123	24
333	124	24
334	124	24
335	124	23
336	125	23
337	125	22
338	125	22
339	125	22
340	126	21
341	126	21
342	126	21
343	127	20
344	127	20
345	127	19
346	128	19
347	128	19
348	129	18
349	129	18
350	130	18
351	130	17
352	130	17
353	131	17
354	131	16
355	132	16
356	132	15
357	132	15
358	133	15
359	133	14
360	134	14
361	134	14
362	134	13
363	135	13
364	135	12
365	135	12
366	136	12
367	136	11
368	137	11
369	137	11
370	138	10
371	138	10
372	138	10
373	139	9
374	140	9
375	140	8
376	140	8
377	141	8
378	141	7
379	141	7
380	142	7
381	142	6
382	143	6
383	144	6
384	145	5
385	146	5
386	146	4
387	146	4
388	147	4
389	147	3
390	147	3
391	148	3
392	148	2
393	148	2
394	149	1
395	149	1
396	150	1
397	151	0
398	151	0
399	151	0
