iter	Passed	Remaining
0	0	210
1	0	149
2	1	154
3	1	150
4	1	155
5	2	157
6	2	155
7	3	158
8	3	149
9	3	151
10	4	152
11	4	152
12	5	154
13	5	155
14	6	155
15	6	156
16	6	156
17	7	149
18	7	148
19	7	147
20	8	147
21	8	146
22	8	146
23	9	146
24	9	144
25	9	142
26	10	142
27	10	143
28	10	140
29	11	141
30	11	140
31	12	138
32	12	140
33	13	141
34	13	141
35	13	139
36	14	139
37	14	138
38	14	135
39	15	135
40	15	134
41	15	133
42	15	131
43	15	129
44	16	128
45	16	128
46	17	127
47	17	127
48	17	127
49	18	127
50	18	126
51	19	129
52	19	128
53	20	128
54	20	128
55	20	127
56	21	127
57	21	127
58	22	127
59	22	126
60	22	126
61	23	126
62	24	131
63	25	131
64	25	131
65	25	131
66	26	130
67	26	128
68	26	128
69	27	127
70	27	128
71	28	128
72	28	127
73	28	126
74	29	126
75	29	124
76	29	124
77	29	123
78	29	121
79	30	121
80	30	120
81	31	123
82	32	122
83	32	121
84	32	120
85	32	119
86	33	119
87	33	118
88	33	118
89	34	117
90	34	117
91	34	117
92	35	116
93	35	116
94	36	115
95	36	115
96	36	115
97	37	114
98	37	114
99	38	114
100	38	113
101	39	114
102	39	114
103	40	114
104	40	114
105	41	114
106	41	114
107	43	116
108	43	115
109	43	115
110	44	114
111	44	114
112	44	114
113	45	113
114	45	112
115	45	112
116	46	111
117	46	111
118	47	112
119	47	111
120	48	111
121	48	110
122	48	109
123	49	109
124	49	108
125	49	108
126	50	108
127	50	107
128	50	107
129	51	107
130	52	108
131	53	108
132	53	107
133	54	108
134	55	108
135	55	108
136	56	107
137	56	107
138	57	107
139	57	106
140	59	109
141	60	110
142	61	109
143	61	109
144	61	108
145	62	108
146	62	107
147	63	107
148	63	106
149	63	106
150	64	105
151	64	104
152	64	104
153	64	103
154	65	102
155	65	102
156	65	101
157	66	101
158	66	100
159	66	99
160	66	99
161	67	98
162	68	99
163	68	98
164	69	98
165	69	97
166	69	97
167	69	96
168	70	95
169	70	95
170	70	94
171	71	94
172	71	93
173	72	93
174	72	93
175	72	92
176	73	92
177	73	91
178	74	92
179	74	91
180	75	91
181	76	91
182	76	90
183	76	90
184	77	89
185	77	88
186	77	88
187	77	87
188	78	87
189	78	86
190	78	86
191	79	85
192	79	85
193	80	85
194	80	85
195	81	84
196	82	84
197	82	84
198	83	84
199	83	83
200	84	83
201	84	82
202	84	82
203	85	81
204	85	81
205	85	80
206	86	80
207	86	79
208	86	79
209	87	78
210	87	78
211	88	78
212	88	77
213	88	77
214	89	76
215	89	76
216	89	75
217	90	75
218	90	75
219	91	74
220	91	74
221	91	73
222	92	73
223	92	72
224	92	72
225	93	71
226	93	71
227	93	70
228	93	70
229	94	69
230	94	69
231	95	68
232	95	68
233	95	67
234	96	67
235	96	66
236	96	66
237	96	66
238	97	65
239	97	65
240	97	64
241	98	64
242	98	63
243	98	63
244	98	62
245	99	62
246	99	61
247	99	61
248	100	60
249	100	60
250	100	59
251	101	59
252	101	58
253	101	58
254	102	58
255	102	57
256	102	57
257	103	57
258	104	56
259	104	56
260	104	55
261	105	55
262	105	54
263	105	54
264	106	54
265	106	53
266	106	53
267	107	52
268	107	52
269	108	52
270	108	51
271	108	51
272	109	51
273	110	50
274	110	50
275	110	49
276	111	49
277	111	48
278	111	48
279	112	48
280	113	47
281	113	47
282	113	47
283	114	46
284	114	46
285	115	46
286	116	45
287	116	45
288	117	44
289	117	44
290	118	44
291	118	43
292	118	43
293	119	42
294	119	42
295	119	42
296	120	41
297	120	41
298	120	40
299	121	40
300	121	39
301	121	39
302	122	39
303	122	38
304	122	38
305	123	37
306	123	37
307	124	37
308	124	36
309	124	36
310	125	35
311	125	35
312	126	35
313	127	34
314	127	34
315	127	34
316	128	33
317	128	33
318	128	32
319	129	32
320	130	32
321	130	31
322	130	31
323	131	30
324	131	30
325	131	29
326	132	29
327	132	29
328	132	28
329	133	28
330	133	27
331	133	27
332	134	27
333	134	26
334	134	26
335	135	25
336	135	25
337	135	24
338	136	24
339	136	24
340	136	23
341	137	23
342	137	22
343	137	22
344	138	22
345	138	21
346	138	21
347	139	20
348	139	20
349	140	20
350	140	19
351	140	19
352	141	18
353	141	18
354	142	18
355	142	17
356	142	17
357	143	16
358	143	16
359	143	15
360	144	15
361	144	15
362	144	14
363	145	14
364	145	13
365	146	13
366	146	13
367	146	12
368	147	12
369	147	11
370	147	11
371	148	11
372	148	10
373	148	10
374	149	9
375	149	9
376	149	9
377	150	8
378	150	8
379	151	7
380	151	7
381	151	7
382	152	6
383	152	6
384	153	5
385	153	5
386	154	5
387	154	4
388	155	4
389	156	4
390	156	3
391	157	3
392	157	2
393	158	2
394	158	2
395	159	1
396	160	1
397	160	0
398	160	0
399	161	0
